Date,Time,Location,Sub-location,Source,Notes
2021-05-07,1940h - 2140h,Yio Chu Kang Activesg Sports Hall (200 Ang Mo Kio Avenue 9),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-07,1450h - 1600h,Hougang Mall (90 Hougang Avenue 10),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-07,1330h - 1430h,201 Coffee Shop (201 Tampines Street 21),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-07,1305h - 1400h,Changi Cycling Singapore (4 Changi Village Road),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-07,0900h - 0945h,Eastwood Centre (20 Eastwood Road) ,Subway,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-07,0800h - 0900h,Pasir Ris East Community Centre (1 Pasir Ris Drive 4),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-07,1040h - 1255h,Ngee Ann City (391 Orchard Road),New York Skin Solutions,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-07,2035h - 2230h,Safra Tampines (1/A Tampines Street 92),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-07,1225h - 1320h,The Seletar Mall (33 Sengkang West Avenue) ,Saizeriya,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-07,1920h - 2020h,Eastpoint Mall (3 Simei Street 6) ,Eng’S Wanton Noodles,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-07,0700h - 0740h,Pasir Ris Market Produce Shop (441 Pasir Ris Drive 6),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-07,1700h - 1750h,Toa Payoh Hdb Hub (500 Lorong 6 Toa Payoh) ,Ntuc Fairprice,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-07,0700h - 1500h,M171 Gourmet Street Coffeeshop (171 Macpherson Road),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-07,1800h - 1930h,473 Coffee Stop (473 Fernvale Street) ,Michin Korean Bbq And Hotpot,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-07,0725h - 0825h,Giant Hypermarket - Tampines (21 Tampines North Drive 2),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-06,1710h - 1810h,Jem (50 Jurong Gateway Road) ,Don Don Donki,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-06,1200h - 1300h,Singapore Post (1 Pasir Ris Central Street 3),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-06,2120h - 2155h,Changi Airport Terminal 1 (80 Airport Boulevard),Food Gallery,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-06,1415h - 1510h,Plaza Singapura (68 Orchard Road),Co Chung,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-06,1030h - 1230h,Chai Chee Market (1 Chai Chee Avenue),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-06,1830h - 2330h,Plaza Singapura (68 Orchard Road) ,Starbucks,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-06,1835h - 1945h,Changi Airport Terminal 3 (65 Airport Boulevard) ,Kopitiam,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-06,2200h - 2210h,Hao Mart (308C Punggol Walk),,https://www.todayonline.com/singapore/peninsula-plaza-causeway-point-and-several-supermarkets-among-places-visited-covid-19,Added/ Updated on 2021-05-21
2021-05-06,1600h - 0400h,Kopitiam Square (10 Sengkang Square),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-06,0700h - 0730h,Soy Eu Tua Coffee Shop (15 Upper East Coast Road),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-06,1510h - 1610h,Plaza Singapura (68 Orchard Road) ,Uniqlo,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-06,1915h - 2025h,Bedok Mall (311 New Upper Changi Road),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-06,1930h - 2000h,Changi Airport Terminal 3 (65 Airport Boulevard) ,Encik Tan,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-06,0700h - 0740h,Pasir Ris Market Produce Shop (441 Pasir Ris Drive 6),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-06,1140h - 1530h,Changi Airport Terminal 3 (65 Airport Boulevard),Kopitiam,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-06,0700h - 1500h,M171 Gourmet Street Coffeeshop (171 Macpherson Road),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-06,1645h - 1745h,Changi Airport Terminal 3 (65 Airport Boulevard),Heavenly Wang,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-06,1340h - 1405h,Changi Airport Terminal 3 (65 Airport Boulevard) ,Kopitiam,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-06,1735h - 1820h,Changi Airport Terminal 1 (80 Airport Boulevard),Orchis Food Court,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-06,1930h - 2100h,Plq Mall (10 Paya Lebar Road) ,"Western Mahua, Starbucks",https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-06,1420h - 1535h,Esr Bizpark @ Chai Chee (750 Chai Chee Road),Bai Nian Yong Tau Foo,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-06,1420h - 1545h,Ikea Alexandra (317 Alexandra Road),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-06,1920h - 2020h,The Seletar Mall (33 Sengkang West Avenue) ,Swensen’S,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-06,1000h - 1040h,Rivervale Mall (11 Rivervale Crescent),Mcdonald’S,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,1515h - 1610h,Junction 9 (18 Yishun Avenue 9),Sheng Siong Supermarket,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,1850h - 1915h,Siglap New Market (934 East Coast Road) ,Ntuc Fairprice,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,1415h - 1450h,Bedok Interchange Hawker Centre (208B New Upper Changi Road),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,1235h - 1305h,Changi Airport Terminal 3 (65 Airport Boulevard),Kopitiam,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,1750h - 1820h,Sheng Siong Supermarket (506 Tampines Central 1),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,1830h - 1935h,Parkway Parade (80 Marine Parade) ,Ramen Dining Keisuke Tokyo,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,0010h - 0130h,China Northeast Cuisine (199 New Bridge Road),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,1310h - 1405h,Giant Hypermarket – Tampines (21 Tampines North Drive 2),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,0330h - 0410h,Changi Airport Terminal 3 (65 Airport Boulevard),Kopitiam,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,0700h - 1500h,M171 Gourmet Street Coffeeshop (171 Macpherson Road),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,1840h - 1910h,Great World City (1 Kim Seng Promenade),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,1220h - 1345h,Tampines 1 (10 Tampines Central) ,Isteaks,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,1945h - 2045h,O.Bba Jjajang (77 Tanjong Pagar Road),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,1140h - 1245h,Ikea Tampines (60 Tampines North Drive 2),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,1610h - 2045h,Thye Hwa Heng Canteen (29 Eunos Avenue 6),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,1605h - 1645h,Tampines Mall (4 Tampines Central 5),Uniqlo,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,1735h - 2100h,Royal Albatross (8 Sentosa Gateway),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,1600h - 1700h,Changi General Hospital (2 Simei Street 3) ,Kopitiam,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,0830h - 2220h,White Sands (1 Pasir Ris Central Street 3) ,Unity Pharmacy,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,1830h - 2330h,Plaza Singapura (68 Orchard Road) ,Starbucks,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,1600h - 0400h,Kopitiam Square (10 Sengkang Square),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,2035h - 2110h,Changi Airport Terminal 3 (65 Airport Boulevard),Kopitiam,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,1505h - 1600h,Eastlink Mall (8 Tampines Central 1) ,Koufu,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,2015h - 2105h,Changi Airport Terminal 3 (65 Airport Boulevard),Kopitiam,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,1200h - 1315h,Sin Heng Kee Porridge (685 Hougang Street 61),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,1415h - 1440h,Changi Airport Terminal 3 (65 Airport Boulevard),Kopitiam,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,1815h - 1850h,Killiney Kopitiam (11 Upper East Coast Road),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,1035h - 1105h,Ikea Alexandra (317 Alexandra Road),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,1810h - 1845h,Junction 8 (9 Bishan Place) ,Mcdonald’S,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,1000h - 2030h,Toast & Curry (43 Siloso Beach Walk),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-05,1820h - 1850h,Snip Avenue (419 Tampines Street 41),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-04,1720h - 1755h,Plq Mall (10 Paya Lebar Road),,https://www.todayonline.com/singapore/ica-building-paya-lebar-square-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-19
2021-05-04,1425h - 1455h,Vivocity (1 Habourfront Walk) ,Kopitiam,https://www.todayonline.com/singapore/ica-building-paya-lebar-square-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-19
2021-05-04,1600h - 0400h,Kopitiam Square (10 Sengkang Square),,https://www.channelnewsasia.com/news/singapore/covid-19-locations-visited-cases-may-14-eateries-royal-albatross-14809126,"Added/ Updated on 2021-05-15, Overnight case"
2021-05-04,2010h - 2040h,Changi Airport Terminal 1 (80 Airport Boulevard),Food Gallery,https://www.channelnewsasia.com/news/singapore/covid-19-locations-visited-cases-may-14-eateries-royal-albatross-14809126,Added/ Updated on 2021-05-15
2021-05-04,1820h - 1855h,Paya Lebar Square (60 Paya Lebar Road),,https://www.todayonline.com/singapore/ica-building-paya-lebar-square-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-19
2021-05-04,0830h - 2220h,White Sands (1 Pasir Ris Central Street 3) ,Unity Pharmacy,https://www.channelnewsasia.com/news/singapore/covid-19-locations-visited-cases-may-14-eateries-royal-albatross-14809126,Added/ Updated on 2021-05-15
2021-05-04,1755h - 1825h,Bedok Interchange Hawker Centre (208B New Upper Changi Road),,https://www.channelnewsasia.com/news/singapore/locations-visited-by-covid-19-cases-suntec-bugis-may-17-14829222,Added/ Updated on 2021-05-18
2021-05-03,0830h - 2220h,White Sands (1 Pasir Ris Central Street 3) ,Unity Pharmacy,https://www.channelnewsasia.com/news/singapore/covid-19-locations-visited-cases-may-14-eateries-royal-albatross-14809126,Added/ Updated on 2021-05-15
2021-05-03,2025h - 2125h,Changi Airport Terminal 3 (65 Airport Boulevard),Kopitiam,https://www.channelnewsasia.com/news/singapore/covid-19-locations-visited-cases-may-14-eateries-royal-albatross-14809126,Added/ Updated on 2021-05-15
2021-05-03,1600h - 0400h,Kopitiam Square (10 Sengkang Square),,https://www.channelnewsasia.com/news/singapore/covid-19-locations-visited-cases-may-14-eateries-royal-albatross-14809126,"Added/ Updated on 2021-05-15, Overnight case"
2021-05-03,1255h - 1400h,The Clementi Mall (3155 Commonwealth Avenue West),Boleh Boleh!,https://www.channelnewsasia.com/news/singapore/locations-visited-by-covid-19-cases-suntec-bugis-may-17-14829222,Added/ Updated on 2021-05-18
2021-05-03,1200h - 1230h,Changi Airport Terminal 3 (65 Airport Boulevard),Kopitiam,https://www.channelnewsasia.com/news/singapore/covid-19-visited-community-cases-ikea-malls-changi-airport-14803894,Added/ Updated on 2021-05-14
2021-05-03,1340h - 1420h,Changi Airport Terminal 1 (80 Airport Boulevard),Orchis Food Court,https://www.channelnewsasia.com/news/singapore/covid-19-locations-visited-cases-may-14-eateries-royal-albatross-14809126,Added/ Updated on 2021-05-15
2021-05-03,1705h - 1825h,Changi Airport Terminal 3 (65 Airport Boulevard),Kopitiam,https://www.channelnewsasia.com/news/singapore/covid-19-visited-community-cases-ikea-malls-changi-airport-14803894,Added/ Updated on 2021-05-14
2021-05-03,1505h - 1600h,Tampines Mart (9 Tampines Street 32),Giant,https://www.channelnewsasia.com/news/singapore/locations-visited-by-covid-19-cases-suntec-bugis-may-17-14829222,Added/ Updated on 2021-05-18
2021-05-02,1230h - 1300h,Changi Airport Terminal 3 (65 Airport Boulevard),Kopitiam,https://www.channelnewsasia.com/news/singapore/covid-19-visited-community-cases-ikea-malls-changi-airport-14803894,Added/ Updated on 2021-05-14
2021-05-02,1605h - 1645h,White Sands (1 Pasir Ris Central Street 3) ,Ntuc Fairprice,https://www.channelnewsasia.com/news/singapore/covid-19-locations-visited-cases-may-14-eateries-royal-albatross-14809126,Added/ Updated on 2021-05-15
2021-05-02,0830h - 2220h ,White Sands (1 Pasir Ris Central Street 3) ,Unity Pharmacy,https://www.channelnewsasia.com/news/singapore/covid-19-locations-visited-cases-may-14-eateries-royal-albatross-14809126,Added/ Updated on 2021-05-15
2021-05-02,1150h - 1350h,Tampines 1 (10 Tampines Central 1),The Sushi Bar,https://www.channelnewsasia.com/news/singapore/covid-19-visited-community-cases-ikea-malls-changi-airport-14803894,Added/ Updated on 2021-05-14
2021-05-02,1745h - 1830h,Changi Airport Terminal 3 (65 Airport Boulevard),Kopitiam,https://www.channelnewsasia.com/news/singapore/covid-19-visited-community-cases-ikea-malls-changi-airport-14803894,Added/ Updated on 2021-05-14
2021-05-01,1430h - 2220h,White Sands (1 Pasir Ris Central Street 3) ,Unity Pharmacy,https://www.channelnewsasia.com/news/singapore/covid-19-locations-visited-cases-may-14-eateries-royal-albatross-14809126,Added/ Updated on 2021-05-15
2021-05-01,1005h - 1035h,Chai Chee United Temple (6 Chai Chee Lane),,https://www.channelnewsasia.com/news/singapore/covid-19-visited-community-cases-ikea-malls-changi-airport-14803894,Added/ Updated on 2021-05-14
2021-05-01,1415h - 1605h,Jewel Changi Airport (78 Airport Boulevard),Maison De Pb,https://www.channelnewsasia.com/news/singapore/covid-19-visited-community-cases-ikea-malls-changi-airport-14803894,Added/ Updated on 2021-05-14
2021-05-01,1635h - 1805h,Jewel Changi Airport (78 Airport Boulevard),Five Spice,https://www.channelnewsasia.com/news/singapore/covid-19-visited-community-cases-ikea-malls-changi-airport-14803894,Added/ Updated on 2021-05-14
2021-05-01,2000h - 2100h,Waterway Point (83 Punggol Central),Ichiban Boshi,https://www.channelnewsasia.com/news/singapore/covid-19-locations-visited-may-15-community-cases-14802208,Added/ Updated on 2021-05-16
2021-05-01,1220h - 1345h,Tampines 1 (10 Tampines Central),Isteaks,https://www.channelnewsasia.com/news/singapore/locations-visited-by-covid-19-cases-during-jem-westgate-may-16-14822830,Added/ Updated on 2021-05-17
2021-05-01,1940h - 2040h,Eastpoint Mall (3 Simei Street 6),Sanook Kitchen,https://www.channelnewsasia.com/news/singapore/covid-19-locations-visited-cases-may-14-eateries-royal-albatross-14809126,Added/ Updated on 2021-05-15
2021-05-01,1600h - 0400h,Kopitiam Square (10 Sengkang Square),,https://www.channelnewsasia.com/news/singapore/covid-19-locations-visited-cases-may-14-eateries-royal-albatross-14809126,"Added/ Updated on 2021-05-15, Overnight case"
2021-04-30,1600h - 0400h,Kopitiam Square (10 Sengkang Square),,https://www.channelnewsasia.com/news/singapore/covid-19-locations-visited-cases-may-14-eateries-royal-albatross-14809126,"Added/ Updated on 2021-05-15, Overnight case"
2021-04-30,0830h - 2220h ,White Sands (1 Pasir Ris Central Street 3) ,Unity Pharmacy,https://www.channelnewsasia.com/news/singapore/covid-19-locations-visited-cases-may-14-eateries-royal-albatross-14809126,Added/ Updated on 2021-05-15
2021-04-30,1055h - 1125h,Changi Airport Terminal 3 (65 Airport Boulevard),Kopitiam,https://www.channelnewsasia.com/news/singapore/covid-19-visited-community-cases-ikea-malls-changi-airport-14803894,Added/ Updated on 2021-05-14
2021-04-29,1510h - 1540h,Changi Airport Terminal 3 (65 Airport Boulevard),Kopitiam,https://www.channelnewsasia.com/news/singapore/covid-19-visited-community-cases-ikea-malls-changi-airport-14803894,Added/ Updated on 2021-05-14
2021-02-01,1710h - 1815h ,Sun Plaza (30 Sembawang Drive),Pizza Hut,https://www.channelnewsasia.com/news/singapore/covid-19-community-locations-jurong-point-white-sands-14119438,Added/ Updated on 2021-02-08
2021-02-01,1600h - 1700h,Jurong Point (1 Jurong West Central 2),,https://www.channelnewsasia.com/news/singapore/covid-19-community-locations-jurong-point-white-sands-14119438,Added/ Updated on 2021-02-08
2021-01-31,1830h - 1900h,White Sands (1 Pasir Ris Central Street 3),Valudollar,https://www.channelnewsasia.com/news/singapore/covid-19-community-locations-jurong-point-white-sands-14119438,Added/ Updated on 2021-02-08
2021-01-31,1820h - 2035h,White Sands (1 Pasir Ris Central Street 3),,https://www.channelnewsasia.com/news/singapore/covid-19-community-locations-jurong-point-white-sands-14119438,Added/ Updated on 2021-02-08
2021-01-30,2200h - 0000h,Golden Village Yishun (51 Yishun Central 1),Hall 1,https://www.channelnewsasia.com/news/singapore/covid-19-community-locations-jurong-point-white-sands-14119438,Added/ Updated on 2021-02-08
2021-01-29,1900h - 1930h,Northpoint City (930 Yishun Avenue 2),,https://www.channelnewsasia.com/news/singapore/covid-19-community-locations-jurong-point-white-sands-14119438,Added/ Updated on 2021-02-08
2021-01-28,1035h - 1225h,Changi Airport Terminal 1 (80 Airport Boulevard),Orchis Food Court,https://www.channelnewsasia.com/news/singapore/covid-19-community-locations-jurong-point-white-sands-14119438,Added/ Updated on 2021-02-08
2021-01-28,1730h - 1930h,National Service Resort & Country Club Changi (10 Changi Coast Walk),,https://www.channelnewsasia.com/news/singapore/covid-19-places-locations-jan-30-visited-by-community-cases-14075496,Added/ Updated on 2021-01-31
2021-01-27,0900h - 0930h,Changi Airport Terminal 1 (80 Airport Boulevard),Orchis Food Court,https://www.channelnewsasia.com/news/singapore/covid-19-community-locations-jurong-point-white-sands-14119438,Added/ Updated on 2021-02-08
2021-01-27,0800h - 1800h,Broadway (848 Yishun Street 81),,https://www.channelnewsasia.com/news/singapore/covid-19-places-locations-jan-30-visited-by-community-cases-14075496,Added/ Updated on 2021-01-31
2021-01-27,1810h - 1900h,Northpoint City (930 Yishun Avenue 2),,https://www.channelnewsasia.com/news/singapore/covid-19-community-locations-jurong-point-white-sands-14119438,Added/ Updated on 2021-02-08
2021-01-26,0800h - 1800h,Broadway (848 Yishun Street 81),,https://www.channelnewsasia.com/news/singapore/covid-19-places-locations-jan-30-visited-by-community-cases-14075496,Added/ Updated on 2021-01-31
2021-01-25,0800h - 1800h,Broadway (848 Yishun Street 81),,https://www.channelnewsasia.com/news/singapore/covid-19-places-locations-jan-30-visited-by-community-cases-14075496,Added/ Updated on 2021-01-31
2021-01-25,1255h - 1400h,China Square Food Centre (51 Telok Ayer Street),,https://www.channelnewsasia.com/news/singapore/covid-19-places-locations-jan-30-visited-by-community-cases-14075496,Added/ Updated on 2021-01-31
2021-01-25,1625h - 1720h,Changi Airport Terminal 3 (65 Airport Boulevard),Kopitiam,https://www.channelnewsasia.com/news/singapore/covid-19-community-locations-jurong-point-white-sands-14119438,Added/ Updated on 2021-02-08
2021-01-24,0800h - 1800h,Broadway (848 Yishun Street 81),,https://www.channelnewsasia.com/news/singapore/covid-19-places-locations-jan-30-visited-by-community-cases-14075496,Added/ Updated on 2021-01-31
2021-01-24,1220h - 1305h,Changi Airport Terminal 1 (80 Airport Boulevard),Orchis Food Court,https://www.channelnewsasia.com/news/singapore/covid-19-community-locations-jurong-point-white-sands-14119438,Added/ Updated on 2021-02-08
2021-01-23,1300h - 1605h,Northpoint City (930 Yishun Avenue 2),,https://www.channelnewsasia.com/news/singapore/covid-19-community-locations-jurong-point-white-sands-14119438,Added/ Updated on 2021-02-08
2021-01-23,0740h - 0840h,Changi Airport Terminal 1 (80 Airport Boulevard),Orchis Food Court,https://www.channelnewsasia.com/news/singapore/covid-19-community-locations-jurong-point-white-sands-14119438,Added/ Updated on 2021-02-08
2021-01-23,1800h - 1915h,Sun Plaza (30 Sembawang Drive),,https://www.channelnewsasia.com/news/singapore/covid-19-community-locations-jurong-point-white-sands-14119438,Added/ Updated on 2021-02-08
